clusterid	clustersize
1	91
2	67
3	78
4	65
5	71
6	37
7	24
8	29
9	43
10	70
11	53
12	50
13	58
14	68
15	31
16	46
17	47
18	50
19	53
20	44
21	58
22	33
23	59
24	59
25	59
26	86
27	72
28	159
29	77
30	12
31	46
32	31
33	61
34	12
35	69
36	37
37	79
38	33
39	36
40	10
41	104
42	105
43	52
44	18
45	53
46	199
47	36
48	10
49	99
50	68
51	51
52	63
53	76
54	66
55	93
56	86
57	39
58	49
59	29
60	46
61	31
62	53
63	34
64	88
65	116
66	94
67	117
68	97
69	125
70	97
71	126
72	72
73	129
74	63
75	69
76	56
77	38
78	53
79	84
80	90
81	63
82	60
83	71
84	20
85	49
86	51
